信号日,代码,名称,板块,买入价,卖出日,卖出价,收益%,持有交易日,卖出方式,当时周期
2019-08-28,600775,南京熊猫,C39计算机、通信和其他电子设备制造业,11.71791075,2019-08-29,11.36,-3.19,1,没涨停→尾盘卖,妖股期
2019-08-29,002153,石基信息,I65软件和信息技术服务业,13.67408174,2019-08-30,13.25,-3.26,1,没涨停→尾盘卖,平淡期
2019-08-29,600476,*ST湘邮,I65软件和信息技术服务业,17.62,2019-08-30,17.22,-2.42,1,没涨停→尾盘卖,平淡期
2019-08-30,000547,航天发展,C39计算机、通信和其他电子设备制造业,10.7555144,2019-09-03,11.96,11.03,2,再涨停→次日早盘卖,平淡期
2019-09-02,000066,中国长城,C39计算机、通信和其他电子设备制造业,11.52134676,2019-09-03,12.41,7.52,1,没涨停→尾盘卖,平淡期
2019-09-02,000555,神州信息,I65软件和信息技术服务业,11.3260165,2019-09-03,11.45,0.98,1,没涨停→尾盘卖,平淡期
2019-09-03,600198,大唐电信,C39计算机、通信和其他电子设备制造业,11.67,2019-09-04,11.58,-0.92,1,没涨停→尾盘卖,平淡期
2019-09-03,002730,电光科技,C35专用设备制造业,7.69425624,2019-09-05,9.28,20.5,2,再涨停→次日早盘卖,平淡期
2019-09-04,000517,荣安地产,K70房地产业,2.10927948,2019-09-05,2.09,-1.17,1,没涨停→尾盘卖,平淡期
2019-09-04,600641,先导基电,K70房地产业,9.74914488,2019-09-05,9.58,-1.91,1,没涨停→尾盘卖,平淡期
2019-09-05,002796,世嘉科技,C39计算机、通信和其他电子设备制造业,29.44110114,2019-09-06,29.38,-0.35,1,没涨停→尾盘卖,平淡期
2019-09-05,002851,麦格米特,C38电气机械和器材制造业,21.92867775,2019-09-06,21.93,-0.15,1,没涨停→尾盘卖,平淡期
2019-09-05,600291,退市西水,,9.3,2019-09-06,9.66,3.72,1,没涨停→尾盘卖,平淡期
2019-09-06,603773,沃格光电,C39计算机、通信和其他电子设备制造业,15.4789344,2019-09-09,15.95,2.91,1,没涨停→尾盘卖,平淡期
2019-09-09,002217,ST合力泰,C39计算机、通信和其他电子设备制造业,6.45859489,2019-09-10,6.44,-0.46,1,没涨停→尾盘卖,平淡期
2019-09-09,002474,榕基软件,I65软件和信息技术服务业,9.06139377,2019-09-10,8.73,-3.78,1,没涨停→尾盘卖,平淡期
2019-09-09,002178,延华智能,I65软件和信息技术服务业,4.03,2019-09-11,4.5,11.51,2,再涨停→次日早盘卖,平淡期
2019-09-10,603005,晶方科技,C39计算机、通信和其他电子设备制造业,8.86724352,2019-09-11,8.36,-5.91,1,没涨停→尾盘卖,平淡期
2019-09-12,002168,ST惠程,C38电气机械和器材制造业,9.2,2019-09-16,9.11,-1.13,1,没涨停→尾盘卖,平淡期
2019-09-12,002471,中超控股,C38电气机械和器材制造业,3.0525514,2019-09-16,2.96,-3.05,1,没涨停→尾盘卖,平淡期
2019-09-12,002662,峰璟股份,C36汽车制造业,3.03285039,2019-09-16,3.15,3.78,1,没涨停→尾盘卖,平淡期
2019-09-17,002892,科力尔,C38电气机械和器材制造业,10.91128372,2019-09-18,10.46,-4.26,1,没涨停→尾盘卖,恐慌期
2019-09-17,002911,佛燃能源,D45燃气生产和供应业,5.80464429,2019-09-18,5.64,-3.06,1,没涨停→尾盘卖,恐慌期
2019-09-17,600896,退市海医,,4.7,2019-09-19,5.5,16.87,2,再涨停→次日早盘卖,恐慌期
2019-09-19,002189,中光学,C39计算机、通信和其他电子设备制造业,24.2639692,2019-09-20,23.96,-1.39,1,没涨停→尾盘卖,平淡期
2019-09-19,600151,航天机电,C38电气机械和器材制造业,5.72,2019-09-20,5.61,-2.07,1,没涨停→尾盘卖,平淡期
2019-09-20,000008,神州高铁,C37铁路、船舶、航空航天和其他运输设备制造业,3.94666668,2019-09-23,4.02,1.62,1,没涨停→尾盘卖,平淡期
2019-09-20,600495,晋西车轴,C37铁路、船舶、航空航天和其他运输设备制造业,4.7010288,2019-09-23,4.82,2.35,1,没涨停→尾盘卖,平淡期
2019-09-20,603111,康尼机电,C37铁路、船舶、航空航天和其他运输设备制造业,5.16908788,2019-09-23,4.97,-3.92,1,没涨停→尾盘卖,平淡期
2019-09-23,002156,通富微电,C39计算机、通信和其他电子设备制造业,11.6566884,2019-09-24,12.46,6.74,1,没涨停→尾盘卖,平淡期
2019-09-23,002906,华阳集团,C39计算机、通信和其他电子设备制造业,11.624675,2019-09-25,12.15,4.41,2,再涨停→次日早盘卖,平淡期
2019-09-24,600800,渤海化学,C26化学原料和化学制品制造业,6.3,2019-09-25,6.14,-2.69,1,没涨停→尾盘卖,恐慌期
2019-09-25,600353,旭光电子,C39计算机、通信和其他电子设备制造业,4.33170625,2019-09-27,4.83,11.37,2,再涨停→次日早盘卖,平淡期
2019-09-27,002152,广电运通,C39计算机、通信和其他电子设备制造业,7.28770615,2019-09-30,7.63,4.59,1,没涨停→尾盘卖,平淡期
2019-09-27,002655,共达电声,C39计算机、通信和其他电子设备制造业,10.49385339,2019-09-30,10.07,-4.21,1,没涨停→尾盘卖,平淡期
2019-09-27,600363,联创光电,C39计算机、通信和其他电子设备制造业,12.89208728,2019-09-30,12.39,-4.06,1,没涨停→尾盘卖,平淡期
2019-09-30,600387,退市海越,,8.26251232,2019-10-08,8.12,-1.93,1,没涨停→尾盘卖,恐慌期
2019-10-08,601028,玉龙股份,,4.9051827,2019-10-09,4.97,1.26,1,没涨停→尾盘卖,平淡期
2019-10-09,600075,新疆天业,C26化学原料和化学制品制造业,4.81682479,2019-10-10,4.89,1.42,1,没涨停→尾盘卖,平淡期
2019-10-09,600360,华微电子,C39计算机、通信和其他电子设备制造业,6.25637794,2019-10-10,6.38,1.88,1,没涨停→尾盘卖,平淡期
2019-10-09,603360,百傲化学,C26化学原料和化学制品制造业,7.84011074,2019-10-10,8.01,2.05,1,没涨停→尾盘卖,平淡期
2019-10-10,002498,汉缆股份,C38电气机械和器材制造业,2.88598893,2019-10-11,2.8,-3.06,1,没涨停→尾盘卖,平淡期
2019-10-10,002913,奥士康,C39计算机、通信和其他电子设备制造业,26.00129196,2019-10-11,25.5,-2.09,1,没涨停→尾盘卖,平淡期
2019-10-10,600203,福日电子,C39计算机、通信和其他电子设备制造业,7.37617331,2019-10-11,7.04,-4.75,1,没涨停→尾盘卖,平淡期
2019-10-11,000976,*ST华铁,,5.7086883,2019-10-14,5.74,0.37,1,没涨停→尾盘卖,平淡期
2019-10-11,002619,*ST艾格,,3.14,2019-10-14,3.14,-0.15,1,没涨停→尾盘卖,平淡期
2019-10-14,000606,顺利退,,6.38,2019-10-15,6.11,-4.38,1,没涨停→尾盘卖,妖股期
2019-10-14,603519,立霸股份,C38电气机械和器材制造业,10.4695306,2019-10-15,9.79,-6.65,1,没涨停→尾盘卖,妖股期
2019-10-14,600393,ST粤泰,,2.67,2019-10-16,3.09,15.58,2,再涨停→次日早盘卖,妖股期
2019-10-15,600212,绿能慧充,C38电气机械和器材制造业,5.84,2019-10-16,5.49,-6.14,1,没涨停→尾盘卖,平淡期
2019-10-17,002448,中原内配,C36汽车制造业,5.0558256,2019-10-21,5.34,5.49,2,再涨停→次日早盘卖,平淡期
2019-10-21,002124,天邦食品,A03畜牧业,9.8397145,2019-10-22,10.33,4.82,1,没涨停→尾盘卖,恐慌期
2019-10-21,600975,新五丰,A03畜牧业,9.42162484,2019-10-22,9.6,1.74,1,没涨停→尾盘卖,恐慌期
2019-10-22,000153,丰原药业,C27医药制造业,4.56159,2019-10-23,4.64,1.59,1,没涨停→尾盘卖,恐慌期
2019-10-22,000882,华联股份,L72商务服务业,2.4,2019-10-23,2.3,-4.32,1,没涨停→尾盘卖,恐慌期
2019-10-28,000040,*ST旭蓝,,5.27,2019-10-29,5.13,-2.81,1,没涨停→尾盘卖,主线期
2019-10-28,002115,三维通信,L72商务服务业,8.62441314,2019-10-29,8.29,-4.07,1,没涨停→尾盘卖,主线期
2019-10-28,002296,辉煌科技,C38电气机械和器材制造业,7.12269536,2019-10-29,6.74,-5.5,1,没涨停→尾盘卖,主线期
2019-11-06,002724,海洋王,C38电气机械和器材制造业,6.73500817,2019-11-07,7.08,5.01,1,没涨停→尾盘卖,恐慌期
2019-11-07,000687,华讯退,,7.11,2019-11-11,7.37,3.51,2,再涨停→次日早盘卖,平淡期
2019-11-07,603031,安孚科技,C38电气机械和器材制造业,8.39215975,2019-11-11,10.16,20.88,2,再涨停→次日早盘卖,平淡期
2019-11-13,002077,大港股份,C39计算机、通信和其他电子设备制造业,5.42,2019-11-14,5.47,0.77,1,没涨停→尾盘卖,平淡期
2019-11-14,002635,安洁科技,C39计算机、通信和其他电子设备制造业,14.48507676,2019-11-15,14.19,-2.17,1,没涨停→尾盘卖,平淡期
2019-11-14,002681,奋达科技,C39计算机、通信和其他电子设备制造业,4.58,2019-11-15,4.69,2.25,1,没涨停→尾盘卖,平淡期
2019-11-14,600130,波导股份,C39计算机、通信和其他电子设备制造业,3.63,2019-11-15,3.5,-3.73,1,没涨停→尾盘卖,平淡期
2019-11-18,600836,*ST易连,,4.17,2019-11-19,4.35,4.17,1,没涨停→尾盘卖,平淡期
2019-11-19,002555,三七互娱,I64互联网和相关服务,16.50505066,2019-11-20,17.04,3.11,1,没涨停→尾盘卖,平淡期
2019-11-19,600532,退市未来,,3.65,2019-11-21,4.02,9.99,2,再涨停→次日早盘卖,平淡期
2019-11-20,000587,*ST金洲,,1.87,2019-11-21,1.81,-3.36,1,没涨停→尾盘卖,恐慌期
